Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1
0174-K-00142-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 FRANKSTOWN AVE
0174-K-00144-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 FRANKSTOWN AVE
0174-K-00336-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 BENNETT ST
0174-L-00042-0000-00,Vacant Land,Available,URA Owned,RM-M,0 IDLEWILD ST
0174-L-00043-0000-00,Vacant Land,Available,URA Owned,RM-M,0 IDLEWILD ST
0174-L-00054-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 FRANKSTOWN AVE
0174-L-00058-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 FRANKSTOWN AVE
0174-L-00301-0000-00,Vacant Land,Available,URA Owned,RM-M,0 BAXTER ST
0174-L-00303-0000-00,Vacant Land,Available,URA Owned,RM-M,0 BAXTER ST
0174-L-00371-0000-00,Street,Available,URA Owned,RM-M,0 RACE ST
0174-L-00372-0000-00,Vacant Land,Available,URA Owned,RM-M,0 RACE ST
0174-M-00245-0000-00,Vacant Land,Available,URA Owned,R2-L,7755 CALHOUN AVE
0174-M-00254-0000-00,Vacant Land,Available,URA Owned,R2-L,0 CALHOUN AVE
0174-M-00255-0000-00,Vacant Land,Available,URA Owned,R2-L,7745 CALWAY ST
0174-M-00256-0000-00,Vacant Land,Available,URA Owned,R2-L,0 CALWAY ST
0174-M-00376-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 FRANKSTOWN AVE
0174-P-00142-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 HAMILTON AVE
0174-P-00369-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 FLEURY WAY
0175-C-00308-0000-00,Vacant Land,Disposition in Process,URA Owned,RM-M,0 HALE ST
0175-C-00330-0000-00,Vacant Land,Hold from Market,URA Owned,RM-M,0 HALE ST
0175-D-00115-0000-00,Vacant Land,Available,URA Owned,RM-M,0 TACOMA ST
0175-D-00141-0000-00,Vacant Land,Available,URA Owned,RM-M,0 INGLENOOK PL
0175-D-00309-0000-00,Vacant Land,Available,URA Owned,RM-M,0 SINGER PL
0175-H-00192-0000-00,Vacant Land,Available,URA Owned,RM-M,0 OAKWOOD ST
0175-H-00248-0000-00,Vacant Land,Available,URA Owned,RM-M,0 GRACE ST
0231-F-00194-0000-00,Vacant Land,Available,URA Owned,R2-L,0 DERSAM ST
0231-J-00011-0000-00,Vacant Land,Available,URA Owned,R2-L,0 HALLAM ST
0231-J-00074-0000-00,Vacant Land,Available,URA Owned,R2-L,0 LAWNDALE ST
0231-K-00144-0000-00,Vacant Land,Available,URA Owned,R2-L,0 BRICELYN ST
0231-K-00196-0000-00,Vacant Land,Available,URA Owned,R2-L,0 BRICELYN ST
0231-K-00203-0000-00,Vacant Land,Available,URA Owned,R2-L,0 BRICELYN ST
0231-N-00134-0000-00,Vacant Land,Available,URA Owned,R2-L,0 TOKAY ST
0231-P-00083-0000-00,Vacant Land,Available,URA Owned,R2-L,0 VIDETTE ST
0232-A-00022-0000-00,Vacant Land,Available,URA Owned,RM-M,0 SICKLES ST
0232-E-00065-0000-00,Vacant Land,Sold,Privately Owned,RM-M,0 SICKLES ST
0023-D-00106-0000-00,Vacant Land,Available,URA Owned,R1D-H,0 WARREN ST
0056-R-00319-0000-00,Vacant Land,Available,URA Owned,R1A-H,0 JOHNSTON AVE
0057-C-00113-0000-00,Vacant Land,Available,URA Owned,R1A-H,0 2ND AVE
0057-G-00225-0000-00,Vacant Land,Available,URA Owned,R1A-H,0 2ND AVE
0057-G-00237-0000-00,Vacant Land,Available,URA Owned,R1A-H,0 RENOVA ST
0057-G-00254-0000-00,Vacant Land,Available,URA Owned,R1A-H,0 RENOVA ST
0013-B-00020-0000-00,Vacant Land,Available,URA Owned,R1A-VH,0 ROSCOE ST
0013-B-00021-0000-00,Vacant Land,Available,URA Owned,R1A-VH,0 ROSCOE ST
0022-C-00100-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-M,0 MORRISON ST
0022-C-00101-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-M,0 MORRISON ST
0022-C-00103-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-M,0 MORRISON ST
0022-E-00242-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 WARNER ST
0022-E-00249-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 COLUMBUS AVE
0022-E-00255-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1429 ADAMS ST
0022-E-00256-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1426 WARNER ST
0022-E-00267-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1816 CHATEAU ST
0022-E-00268-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1818 CHATEAU ST
0022-F-00021-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 BELDALE ST
