Parcel Number,Property Status,Inventory Type
0232A00205000000,Hold for Study,Hold For Study
0232A00260000000,Available for Sale,Public Sale
0232A00339000000,Available for Sale,Public Sale
0232A00340000000,Available for Sale,Public Sale
0232A00350000000,Available for Sale,Public Sale
0232B00002000000,Available for Sale,Public Sale
0232B00004000000,Available for Sale,Public Sale
0232B00018000000,Available for Sale,Public Sale
0232B00025000000,Available for Sale,Public Sale
0232B00032000000,Available for Sale,Public Sale
0232B00034000000,Available for Sale,Public Sale
0232B00040000000,Available for Sale,Public Sale
0232B00041000000,Available for Sale,Public Sale
0232B00042000000,Available for Sale,Public Sale
0232B00043000000,Available for Sale,Public Sale
0232B00044000000,Available for Sale,Public Sale
0232B00059000000,Available for Sale,Public Sale
0232B00060000000,Available for Sale,Public Sale
0232B00061000000,Available for Sale,Public Sale
0232B00077000000,Available for Sale,Public Sale
0232B00078000000,Available for Sale,Public Sale
0232B00111000000,Available for Sale,Public Sale
0232B00311000000,Available for Sale,Public Sale
0232D00062000000,Available for Sale,Public Sale
0232D00130000000,Available for Sale,Public Sale
0232D00175000000,Available for Sale,Public Sale
0232D00180000000,Hold for Study,Hold For Study
0232D00181000000,Hold for Study,Hold For Study
0232D00197000000,Hold for Study,Hold For Study
0232D00198000000,Hold for Study,Hold For Study
0232D00199000000,Hold for Study,Hold For Study
0232D00200000000,Hold for Study,Hold For Study
0232E00020000000,Available for Sale,Public Sale
0232E00022000000,Available for Sale,Public Sale
0232E00028000000,Available for Sale,Public Sale
0232E00041000000,Available for Sale,Public Sale
0232E00130000000,Available for Sale,Public Sale
0232H00034000000,Hold for Study,Hold For Study
0232H00037000000,Hold for Study,Hold For Study
0003R00021000000,Hold for Study,Hold For Study
0022C00063000000,Available for Sale,Public Sale
0022D00021000000,Hold for Study,Hold For Study
0022M00044000000,Available for Sale,Public Sale
0003K00139000000,Hold for Study,Hold For Study
0005G00056000000,Hold for Study,Hold For Study
0010K00248000000,Available for Sale,URA Transfer
0010K00251000000,Available for Sale,URA Transfer
0010R00147000000,Available for Sale,URA Transfer
0011E00196000000,Available for Sale,Public Sale
0011E00222000000,Available for Sale,Public Sale
0011E00223000000,Available for Sale,Public Sale
0011E00224000000,Available for Sale,Public Sale
0011F00188000000,Hold for Study,Hold for Study
0014J00156000000,Available for Sale,Public Sale
0014J00157000000,Available for Sale,Public Sale
0014J00158000000,Available for Sale,Public Sale
0014J00159000000,Available for Sale,Public Sale
0020G00001000000,Available for Sale,Public Sale
0020R00049000000,Available for Sale,URA Transfer
0020R00103000000,Hold for Study,Hold For Study
0021N00294000000,Hold for Study,Hold For Study
0022D00281000000,Hold for Study,Hold For Study
0022E00343000000,Hold for Study,Hold for Study
0022F00031000000,Hold for Study,Hold for Study
0022F00059000000,Hold for Study,Hold for Study
0022F00119000000,Hold for Study,Hold for Study
0023A00172000000,Available for Sale,Public Sale
0023H00298000000,Hold for Study,Hold for Study
0024F00034000000,Available for Sale,Public Sale
0024F00038000000,Available for Sale,Public Sale
0024G00080000000,Available for Sale,Public Sale
0026E00058000000,Available for Sale,Public Sale
0026E00223000000,Hold for Study,Hold For Study
0028N00179000000,Hold for Study,Hold For Study
0028N00180000000,Hold for Study,Hold For Study
0028N00183000000,Hold for Study,Hold For Study
0035G00194000000,Available for Sale,Public Sale
0035J00112000000,Available for Sale,Public Sale
0042K00096000000,Hold for Study,Hold for Study
0044M00074000000,Available for Sale,Public Sale
0044M00075000000,Available for Sale,Public Sale
0045A00097000000,Available for Sale,Public Sale
0046J00090000000,Available for Sale,Public Sale
0046J00092000000,Available for Sale,Public Sale
0046J00105000000,Available for Sale,Public Sale
0046J00107000000,Available for Sale,Public Sale
0046K00300000000,Available for Sale,Public Sale
0046N00145000000,Available for Sale,Public Sale
0056C00041000000,Available for Sale,URA Transfer
0056F00279000000,Available for Sale,URA Transfer
0056F00289000000,Hold for Study,Hold for Study
0056F00295000000,Hold for Study,Hold for Study
0056F00296000000,Hold for Study,Hold for Study
0056F00304000000,Available for Sale,URA Transfer
0056F00319000000,Available for Sale,URA Transfer
0056N00005000000,Available for Sale,URA Transfer
0056N00016000000,Available for Sale,URA Transfer
0056N00152000A00,Available for Sale,URA Transfer
0056P00139000000,Available for Sale,URA Transfer
0056P00144000000,Available for Sale,URA Transfer
0056P00145000A00,Available for Sale,URA Transfer
0056P00148000000,Available for Sale,URA Transfer
0075B00084000000,Available for Sale,Public Sale
0076F00124000000,Available for Sale,Public Sale
0082J00045000000,Hold for Study,Hold For Study
0124F00172000000,Available for Sale,URA Transfer
0124G00073000000,Available for Sale,Public Sale
0124N00003000000,Available for Sale,URA Transfer
0124N00066000000,Available for Sale,URA Transfer
0124N00085000000,Available for Sale,URA Transfer
0124N00252000000,Available for Sale,URA Transfer
0124N00264000B00,Available for Sale,URA Transfer
0124N00288000000,Available for Sale,URA Transfer
0124P00096000000,Available for Sale,URA Transfer
0124P00133000000,Available for Sale,URA Transfer
0125C00067000000,Available for Sale,URA Transfer
0125D00109000000,Hold for Study,Hold for Study
0125D00110000000,Hold for Study,Hold for Study
0125D00124000000,Available for Sale,URA Transfer
0125D00176000000,Available for Sale,URA Transfer
0125G00100000000,Hold for Study,Hold for Study
0125H00335000000,Cancelled,Public Sale
0125M00025000000,Hold for Study,Hold for Study
0173J00107000000,Available for Sale,Public Sale
0174A00096000000,Available for Sale,URA Transfer
0174A00120000000,Available for Sale,URA Transfer
0174A00213000000,Hold for Study,Hold for Study
0174A00355000000,Available for Sale,URA Transfer
0174E00114000000,Available for Sale,URA Transfer
0174E00115000000,Available for Sale,URA Transfer
0174E00159000000,Available for Sale,URA Transfer
0174G00010000000,Hold for Study,Hold for Study
0174J00026000000,Hold for Study,Hold for Study
0174J00095000000,Available for Sale,URA Transfer
0174J00298000000,Available for Sale,URA Transfer
0174J00323000000,Available for Sale,URA Transfer
0174K00341000A00,Available for Sale,URA Transfer
0174N00091000000,Available for Sale,URA Transfer
0174N00156000000,Available for Sale,URA Transfer
0174P00153000000,Available for Sale,URA Transfer
0174P00199000000,Available for Sale,URA Transfer
0174P00387000000,Available for Sale,URA Transfer
0174R00182000000,Available for Sale,URA Transfer
0174R00385000000,Available for Sale,URA Transfer
0174S00188000000,Available for Sale,URA Transfer
0175A00043000000,Available for Sale,URA Transfer
0175B00051000000,Available for Sale,URA Transfer
0175C00186000B00,Available for Sale,URA Transfer
0175C00235000A00,Available for Sale,URA Transfer
0175D00142000000,Available for Sale,URA Transfer
0175G00061000000,Available for Sale,URA Transfer
0175G00212000A00,Available for Sale,URA Transfer
0231K00193000000,Available for Sale,Public Sale
0232B00263000000,Available for Sale,Public Sale
0171E00150000000,Hold for Study,Hold For Study
0128A00056000001,Hold for Study,Hold For Study
0171B00090000000,Hold for Study,Hold For Study
0083P00290000000,Hold for Study,Hold For Study
0076J00174000000,Hold for Study,Hold For Study
0039D00324000000,Hold for Study,Hold For Study
0055C00108000000,Hold for Study,Hold For Study
0062R00110000000,Hold for Study,Hold For Study
0029F00007000000,Hold for Study,Hold For Study
0115H00131000000,Hold for Study,Hold For Study
0028D00002000000,Hold for Study,Hold For Study
0028N00284000000,Hold for Study,Hold For Study
0061S00097000000,Hold for Study,Hold For Study
0046M00232000000,Hold for Study,Hold For Study
0051R00050000000,Hold for Study,Hold For Study
0006M00500000000,Hold for Study,Hold For Study
0046C00010000000,Hold for Study,Hold For Study
0005B00116000000,Hold for Study,Hold For Study
0005B00105000000,Hold for Study,Hold For Study
0011L00172000000,Hold for Study,Hold For Study
0096L00500000000,Hold for Study,Hold For Study
0045J00079000001,Hold for Study,Hold For Study
0034S00265000000,Hold for Study,Hold For Study
0082B00232000000,Hold for Study,Hold For Study
0023R00104000000,Hold for Study,Hold For Study
0092S00020000000,Hold for Study,Hold For Study
0049R00500000000,Hold for Study,Hold For Study
0008J00098000000,Hold for Study,Hold For Study
0084G00123000A00,Hold for Study,Hold For Study
0126M00104000000,Hold for Study,Hold For Study
0029M00151000000,Hold for Study,Hold For Study
0011E00081000000,Hold for Study,Hold For Study
0029P00425000000,Hold for Study,Hold For Study
0029P00401000000,Hold for Study,Hold For Study
0002R00280000A01,Hold for Study,Hold For Study
0011K00340000900,Hold for Study,Hold For Study
0023R00157000000,Hold for Study,Hold For Study
0054F00062000000,Hold for Study,Hold For Study
0048H00200000001,Hold for Study,Hold For Study
0034P00001000000,Hold for Study,Hold For Study
0002J00002000000,Hold for Study,Hold For Study
0171B00001000002,Hold for Study,Hold For Study
0086G00284000000,Hold for Study,Hold For Study
0025B00015000000,Hold for Study,Hold For Study
0171E00225000000,Hold for Study,Hold For Study
0025F00089000002,Hold for Study,Hold For Study
0173G00104000000,Hold for Study,Hold For Study
0023J00162000000,Hold for Study,Hold For Study
0075H00012000000,Hold for Study,Hold For Study
0014B00332000000,Hold for Study,Hold For Study
0076J00088000000,Hold for Study,Hold For Study
0009L00043000000,Hold for Study,Hold For Study
0048K00310000000,Hold for Study,Hold For Study
0035B00234000000,Hold for Study,Hold For Study
0077S00037000000,Hold for Study,Hold For Study
0047P00271000000,Hold for Study,Hold For Study
0051N00061000000,Hold for Study,Hold For Study
0050E00126000000,Hold for Study,Hold For Study
0095J00032000000,Hold for Study,Hold For Study
0060L00252000000,Hold for Study,Hold For Study
0027A00181000000,Hold for Study,Hold For Study
0014N00258000000,Hold for Study,Hold For Study
0035G00026000000,Hold for Study,Hold For Study
0008B00040000000,Hold for Study,Hold For Study
0057B00160000000,Hold for Study,Hold For Study
0002R00320000000,Hold for Study,Hold For Study
0025B00005000000,Hold for Study,Hold For Study
0054J00187000000,Hold for Study,Hold For Study
0002D00256000000,Hold for Study,Hold For Study
0243G00144000002,Hold for Study,Hold For Study
0013B00061000000,Hold for Study,Hold For Study
0049S00363000001,Hold for Study,Hold For Study
0049S00364000001,Hold for Study,Hold For Study
0049S00361000001,Hold for Study,Hold For Study
0049S00362000100,Hold for Study,Hold For Study
0012N00280000000,Hold for Study,Hold For Study
0049S00365000100,Hold for Study,Hold For Study
0162S00003000000,Hold for Study,Hold For Study
0050E00142000000,Hold for Study,Hold For Study
0050E00139000000,Hold for Study,Hold For Study
0050E00135000000,Hold for Study,Hold For Study
0050E00132000000,Hold for Study,Hold For Study
0050E00133000000,Hold for Study,Hold For Study
0184E00080000000,Available for Sale,URA Transfer
0014F00153000000,Hold for Study,Hold For Study
0076B00128000000,Hold for Study,Hold For Study
0009E00150000000,Hold for Study,Hold For Study
0115C00245000000,Hold for Study,Hold For Study
0115C00239000000,Hold for Study,Hold For Study
0115C00248000000,Hold for Study,Hold For Study
0013H00195000000,Hold for Study,Hold For Study
0024G00059000000,Hold for Study,Hold For Study
0087K00056000001,Hold for Study,Hold For Study
0023G00094000000,Hold for Study,Hold For Study
0024A00201000000,Hold for Study,Hold For Study
0027A00187000000,Hold for Study,Hold For Study
0027A00183000000,Hold for Study,Hold For Study
0027A00182000000,Hold for Study,Hold For Study
0027A00180000A00,Hold for Study,Hold For Study
0024G00058000000,Hold for Study,Hold For Study
0024G00057000000,Hold for Study,Hold For Study
0002P00302000000,Hold for Study,Hold For Study
0027A00186000000,Hold for Study,Hold For Study
0050E00137000000,Hold for Study,Hold For Study
0050E00134000000,Hold for Study,Hold For Study
0050E00131000000,Hold for Study,Hold For Study
0050E00130000000,Hold for Study,Hold For Study
0050E00129000000,Hold for Study,Hold For Study
0054L00294000000,Hold for Study,Hold For Study
0002A00314000000,Hold for Study,Hold For Study
0231K00072000000,Hold for Study,Hold For Study
0004C00049000000,Hold for Study,Hold For Study
0077S00042000000,Hold for Study,Hold For Study
0077S00034000000,Hold for Study,Hold For Study
0026N00338000000,Hold for Study,URA Transfer
0022M00075000000,Hold for Study,Hold For Study
0023R00220000000,Hold for Study,Hold For Study
0050E00136000000,Hold for Study,Hold For Study
0024L00009000000,Hold for Study,Hold For Study
0024F00005000000,Hold for Study,Hold For Study
0002P00299000000,Hold for Study,Hold For Study
0054N00289000000,Hold for Study,Hold For Study
0075J00075000000,Hold for Study,Hold For Study
0023J00004000000,Hold for Study,Hold For Study
0023J00003000000,Hold for Study,Hold For Study
0027A00184000000,Hold for Study,Hold For Study
0027A00180000000,Hold for Study,Hold For Study
0013B00063000000,Hold for Study,Hold For Study
0003C00055000000,Hold for Study,Hold For Study
0044F00075000000,Hold for Study,Hold For Study
0044S00230000000,Hold for Study,Hold For Study
0044B00125000000,Hold for Study,Hold For Study
0013C00019000000,Hold for Study,Hold For Study
0014B00363000000,Hold for Study,Hold For Study
0014F00147000000,Hold for Study,Hold For Study
0115K00114000000,Hold for Study,Hold For Study
0014F00149000000,Hold for Study,Hold For Study
0050B00500000000,Hold for Study,Hold For Study
0084F00054000000,Hold for Study,Hold For Study
0051J00502000000,Hold for Study,Hold For Study
0051J00501000000,Hold for Study,Hold For Study
0051J00500000000,Hold for Study,Hold For Study
0081E00500000000,Hold for Study,Hold For Study
0012P00226000001,Hold for Study,Hold For Study
0012B00002000000,Hold for Study,Hold For Study
0008D00200000000,Hold for Study,Hold For Study
0030A00077000000,Hold for Study,Hold For Study
0003S00019000000,Hold for Study,Hold For Study
0023J00005000000,Hold for Study,Hold For Study
0128L00022000000,Hold for Study,Hold For Study
0034M00200000000,Hold for Study,Hold For Study
0024A00203000000,Hold for Study,Hold For Study
0056N00170000000,Hold for Study,Hold For Study
0001P00044000000,Hold for Study,Hold For Study
0075C00167000000,Hold for Study,Hold For Study
0162S00025000001,Hold for Study,Hold For Study
0028D00004000000,Hold for Study,Hold For Study
0009J00001000000,Hold for Study,Hold For Study
0009B00230000000,Hold for Study,Hold For Study
0001M00180000000,Hold for Study,Hold For Study
0049R00296000000,Hold for Study,Hold For Study
0001M00115000000,Hold for Study,Hold For Study
0086C00169000000,Hold for Study,Hold For Study
0025P00012000000,Hold for Study,Hold For Study
0012P00210000000,Hold for Study,Hold For Study
0125L00237000001,Hold for Study,Hold For Study
0056C00195000000,Hold for Study,Hold For Study
0011D00051000000,Hold for Study,Hold For Study
0034D00020000000,Hold for Study,Hold For Study
0028R00342000000,Hold for Study,Hold For Study
0003G00014000000,Hold for Study,Hold For Study
0002K00135000000,Hold for Study,Hold For Study
0062A00146000000,Hold for Study,Hold For Study
0047K00188000000,Hold for Study,Hold For Study
0176F00027000000,Hold for Study,Hold For Study
0012P00150000000,Hold for Study,Hold For Study
0049F00160000002,Hold for Study,Hold For Study
0002B00072000000,Hold for Study,Hold For Study
0163E00201000000,Hold for Study,Hold For Study
0022R00276000000,Hold for Study,Hold For Study
0028G00025000000,Hold for Study,Hold For Study
0085D00050000001,Hold for Study,Hold For Study
0045A00180000000,Hold for Study,Hold For Study
0010A00055000000,Hold for Study,Hold For Study
0129H00246000000,Hold for Study,Hold For Study
0026C00159000000,Hold for Study,Hold For Study
0060L00212000000,Hold for Study,Hold For Study
0026G00243000000,Hold for Study,Hold For Study
0027J00501000000,Hold for Study,Hold For Study
0002F00294000000,Hold for Study,Hold For Study
0002F00290000000,Hold for Study,Hold For Study
0002M00010000000,Hold for Study,Hold For Study
0002M00011000000,Hold for Study,Hold For Study
0025P00039000000,Hold for Study,Hold For Study
0025P00003000000,Hold for Study,Hold For Study
0002L00121000000,Hold for Study,Hold For Study
0050H00334000000,Hold for Study,Hold For Study
0002M00009000000,Hold for Study,Hold For Study
0012J00222000000,Hold for Study,Hold For Study
0011E00085000000,Hold for Study,Hold For Study
0011E00082000000,Hold for Study,Hold For Study
0002J00227000000,Hold for Study,Hold For Study
0033C00152000000,Hold for Study,Hold For Study
0084C00236000000,Hold for Study,Hold For Study
0025K00038000000,Hold for Study,Hold For Study
0035K00010000000,Hold for Study,Hold For Study
0002M00012000000,Hold for Study,Hold For Study
0008C00600000000,Hold for Study,Hold For Study
0048N00010000000,Hold for Study,Hold For Study
0024F00087000000,Hold for Study,Hold For Study
0024F00025000000,Hold for Study,Hold For Study
0024F00030000000,Hold for Study,Hold For Study
0010N00357000000,Hold for Study,Hold For Study
0026C00112000000,Hold for Study,Hold For Study
0026G00048000100,Hold for Study,Hold For Study
0026F00242000100,Hold for Study,Hold For Study
0026G00107000100,Hold for Study,Hold For Study
0026C00500000000,Hold for Study,Hold For Study
0001H00040000000,Hold for Study,Hold For Study
0026G00102000000,Hold for Study,Hold For Study
0086L00500000000,Hold for Study,Hold For Study
0007M00177000000,Hold for Study,Hold For Study
0044C00290000001,Hold for Study,Hold For Study
0044C00248000001,Hold for Study,Hold For Study
0027A00189000000,Hold for Study,Hold For Study
0027A00188000000,Hold for Study,Hold For Study
0120D00050000000,Hold for Study,Hold For Study
0014F00026000000,Hold for Study,Hold For Study
0115D00187000000,Hold for Study,Hold For Study
0056B00240000000,Hold for Study,Hold For Study
0122L00050000000,Hold for Study,Hold For Study
0027D00035000000,Hold for Study,Hold For Study
0052D00346000000,Hold for Study,Hold For Study
0004G00074000000,Hold for Study,Hold For Study
0174R00143000000,Hold for Study,Hold For Study
0046S00087000000,Hold for Study,Hold For Study
0047N00026000000,Hold for Study,Hold For Study
0046K00214000000,Hold for Study,Hold For Study
0003R00125000000,Hold for Study,Hold For Study
0077C00107000000,Hold for Study,Hold For Study
0028N00290000000,Hold for Study,Hold For Study
0028N00286000000,Hold for Study,Hold For Study
0129J00002000000,Hold for Study,Hold For Study
0095N00390000000,Hold for Study,Hold For Study
0124J00029000000,Hold for Study,Hold For Study
0124F00237000000,Hold for Study,Hold For Study
0121E00044000000,Hold for Study,Hold For Study
0055K00004000000,Hold for Study,Hold For Study
0056G00208000000,Hold for Study,Hold For Study
0115B00182000000,Hold for Study,Hold For Study
0046L00240000000,Hold for Study,Hold For Study
0056F00238000000,Hold for Study,Hold For Study
0173A00247000000,Hold for Study,Hold For Study
0022B00020000000,Hold for Study,Hold For Study
0006K00108000000,Hold for Study,Hold For Study
0011L00280000000,Hold for Study,Hold For Study
0044D00081000000,Hold for Study,Hold For Study
0011D00048000000,Hold for Study,Hold For Study
0055M00302000000,Hold for Study,Hold For Study
0047N00089000000,Hold for Study,Hold For Study
0047K00006000000,Hold for Study,Hold For Study
0051M00302000000,Hold for Study,Hold For Study
0124G00342000000,Hold for Study,Hold For Study
0077B00352000000,Hold for Study,Hold For Study
0075R00118000000,Hold for Study,Hold For Study
0005B00083000000,Hold for Study,Hold For Study
0026C00160000000,Hold for Study,Hold For Study
0046H00134000000,Hold for Study,Hold For Study
0024A00111000000,Hold for Study,Hold For Study
0024A00108000000,Hold for Study,Hold For Study
0026B00085000000,Hold for Study,Hold For Study
0163P00180000000,Hold for Study,Hold For Study
0075S00041000000,Hold for Study,Hold For Study
0096C00197000000,Hold for Study,Hold For Study
0054K00089000000,Hold for Study,Hold For Study
0115H00268000000,Hold for Study,Hold For Study
0115D00350000000,Hold for Study,Hold For Study
0124F00350000001,Hold for Study,Hold For Study
0054N00190000000,Hold for Study,Hold For Study
0055P00354000000,Hold for Study,Hold For Study
0055M00306000000,Hold for Study,Hold For Study
0033A00200000000,Hold for Study,Hold For Study
0049P00013000000,Hold for Study,Hold For Study
0035G00018000000,Hold for Study,Hold For Study
0034G00073000000,Hold for Study,Hold For Study
0034G00072000000,Hold for Study,Hold For Study
0088C00081000000,Hold for Study,Hold For Study
0022B00026000000,Hold for Study,Hold For Study
0025P00011000000,Hold for Study,Hold For Study
0047K00155000000,Hold for Study,Hold For Study
0003L00267000000,Hold for Study,Hold For Study
0184P00035000000,Hold for Study,Hold For Study
0024B00348000000,Hold for Study,Hold For Study
0029M00081000000,Hold for Study,Hold For Study
0014N00264000000,Hold for Study,Hold For Study
0023F00042000000,Hold for Study,Hold For Study
0174R00140000000,Hold for Study,Hold For Study
0076B00158000000,Hold for Study,Hold For Study
0115C00186000000,Hold for Study,Hold For Study
0007L00031000000,Hold for Study,Hold For Study
0078L00264000000,Hold for Study,Hold For Study
0139B00022000000,Hold for Study,Hold For Study
0076B00160000000,Hold for Study,Hold For Study
0125C00066000000,Hold for Study,Hold For Study
0134E00350000000,Hold for Study,Hold For Study
0078R00114000000,Hold for Study,Hold For Study
0055K00006000000,Hold for Study,Hold For Study
0125A00098000000,Hold for Study,Hold For Study
0050H00269000000,Hold for Study,Hold For Study
0046M00120000000,Hold for Study,Hold For Study
0046M00162000000,Hold for Study,Hold For Study
0024A00266000000,Hold for Study,Hold For Study
0046M00154000000,Hold for Study,Hold For Study
0047R00014000000,Hold for Study,Hold For Study
0006F00009000000,Hold for Study,Hold For Study
0077G00115000000,Hold for Study,Hold For Study
0077G00131000000,Hold for Study,Hold For Study
0050H00266000000,Hold for Study,Hold For Study
0050H00267000000,Hold for Study,Hold For Study
0050H00268000000,Hold for Study,Hold For Study
0050H00271000000,Hold for Study,Hold For Study
0025D00107000000,Hold for Study,Hold For Study
0008H00030000000,Hold for Study,Hold For Study
0047H00019000000,Hold for Study,Hold For Study
0047M00177000000,Hold for Study,Hold For Study
0011G00072000000,Hold for Study,Hold For Study
0005C00257000000,Hold for Study,Hold For Study
0005C00258000000,Hold for Study,Hold For Study
0005C00260000000,Hold for Study,Hold For Study
0005C00263000000,Hold for Study,Hold For Study
0005C00293000000,Hold for Study,Hold For Study
0005C00297000000,Hold for Study,Hold For Study
0005C00299000000,Hold for Study,Hold For Study
0005C00301000000,Hold for Study,Hold For Study
0005B00063000000,Hold for Study,Hold For Study
0005B00064000000,Hold for Study,Hold For Study
0005B00068000000,Hold for Study,Hold For Study
0005B00070000000,Hold for Study,Hold For Study
0005B00107000000,Hold for Study,Hold For Study
0005B00108000000,Hold for Study,Hold For Study
0005B00110000000,Hold for Study,Hold For Study
0005B00112000000,Hold for Study,Hold For Study
0005B00113000000,Hold for Study,Hold For Study
0005B00117000000,Hold for Study,Hold For Study
0005B00122000000,Hold for Study,Hold For Study
0005B00128000000,Hold for Study,Hold For Study
0005B00142000000,Hold for Study,Hold For Study
0005B00143000000,Hold for Study,Hold For Study
0005C00250000000,Hold for Study,Hold For Study
0005C00251000000,Hold for Study,Hold For Study
0005C00252000000,Hold for Study,Hold For Study
0005C00253000000,Hold for Study,Hold For Study
0005C00254000000,Hold for Study,Hold For Study
0005C00255000000,Hold for Study,Hold For Study
0163J00130000000,Hold for Study,Hold For Study
0163J00140000000,Hold for Study,Hold For Study
0033P00200000000,Hold for Study,Hold For Study
0024P00055000000,Hold for Study,Hold For Study
0077C00076000000,Hold for Study,Hold For Study
0125A00118000000,Hold for Study,Hold For Study
0015M00087000000,Hold for Study,Hold For Study
0015M00088000000,Hold for Study,Hold For Study
0077L00074000000,Hold for Study,Hold For Study
0092D00081000000,Hold for Study,Hold For Study
0056C00200000000,Hold for Study,Hold For Study
0056C00203000000,Hold for Study,Hold For Study
0056C00204000000,Hold for Study,Hold For Study
0026B00098000000,Hold for Study,Hold For Study
0026B00115000000,Hold for Study,Hold For Study
0024A00109000000,Hold for Study,Hold For Study
0034E00044000000,Hold for Study,Hold For Study
0034E00062000000,Hold for Study,Hold For Study
0034E00064000000,Hold for Study,Hold For Study
0026G00241000000,Hold for Study,Hold For Study
0005B00060000000,Hold for Study,Hold For Study
0005B00065000000,Hold for Study,Hold For Study
0005B00072000000,Hold for Study,Hold For Study
0046C00031000000,Hold for Study,Hold For Study
0047J00048000000,Hold for Study,Hold For Study
0056C00196000000,Hold for Study,Hold For Study
0056C00198000000,Hold for Study,Hold For Study
0082E00028000000,Hold for Study,Hold For Study
0092D00150000000,Hold for Study,Hold For Study
0091G00165000000,Hold for Study,Hold For Study
0091G00168000000,Hold for Study,Hold For Study
0091G00171000000,Hold for Study,Hold For Study
0091G00172000000,Hold for Study,Hold For Study
0091G00176000000,Hold for Study,Hold For Study
0091G00177000000,Hold for Study,Hold For Study
0092D00070000000,Hold for Study,Hold For Study
0092H00022000000,Hold for Study,Hold For Study
0092H00025000000,Hold for Study,Hold For Study
0092H00155000000,Hold for Study,Hold For Study
0131J00040000000,Hold for Study,Hold For Study
0134A00210000000,Hold for Study,Hold For Study
0185D00050000000,Hold for Study,Hold For Study
0060N00228000000,Hold for Study,Hold For Study
0060N00235000000,Hold for Study,Hold For Study
0033P00288000000,Hold for Study,Hold For Study
0033P00293000000,Hold for Study,Hold For Study
0033S00146000000,Hold for Study,Hold For Study
0071K00239000000,Hold for Study,Hold For Study
0071K00243000000,Hold for Study,Hold For Study
0076J00344000000,Hold for Study,Hold For Study
0115A00071000000,Hold for Study,Hold For Study
0115A00211000000,Hold for Study,Hold For Study
0116F00224000000,Hold for Study,Hold For Study
0116F00227000000,Hold for Study,Hold For Study
0116F00232000000,Hold for Study,Hold For Study
0116F00244000000,Hold for Study,Hold For Study
0116F00276000000,Hold for Study,Hold For Study
0044D00045000000,Hold for Study,Hold For Study
0044D00048000000,Hold for Study,Hold For Study
0044D00049000000,Hold for Study,Hold For Study
0045P00128000000,Hold for Study,Hold For Study
0045P00215000000,Hold for Study,Hold For Study
0075R00119000000,Hold for Study,Hold For Study
0075R00122000000,Hold for Study,Hold For Study
0075S00068000000,Hold for Study,Hold For Study
0075S00069000000,Hold for Study,Hold For Study
0075S00070000000,Hold for Study,Hold For Study
0077R00201000000,Hold for Study,Hold For Study
0046H00122000000,Hold for Study,Hold For Study
0046H00181000000,Hold for Study,Hold For Study
0046H00230000000,Hold for Study,Hold For Study
0077B00351000000,Hold for Study,Hold For Study
0077B00353000000,Hold for Study,Hold For Study
0077B00354000000,Hold for Study,Hold For Study
0077C00017000000,Hold for Study,Hold For Study
0077C00031000000,Hold for Study,Hold For Study
0077C00058000000,Hold for Study,Hold For Study
0077C00062000000,Hold for Study,Hold For Study
0077C00103000000,Hold for Study,Hold For Study
0077G00014000000,Hold for Study,Hold For Study
0116K00293000000,Hold for Study,Hold For Study
0116R00067000000,Hold for Study,Hold For Study
0116R00111000000,Hold for Study,Hold For Study
0116R00316000000,Hold for Study,Hold For Study
0116R00324000000,Hold for Study,Hold For Study
0162H00197000000,Hold for Study,Hold For Study
0046C00030000000,Hold for Study,Hold For Study
0046C00048000000,Hold for Study,Hold For Study
0046D00001000000,Hold for Study,Hold For Study
0046D00003000000,Hold for Study,Hold For Study
0046D00057000000,Hold for Study,Hold For Study
0046D00058000000,Hold for Study,Hold For Study
0046M00303000000,Hold for Study,Hold For Study
0046S00027000000,Hold for Study,Hold For Study
0046S00035000000,Hold for Study,Hold For Study
0046S00045000000,Hold for Study,Hold For Study
0046S00046000000,Hold for Study,Hold For Study
0046S00048000000,Hold for Study,Hold For Study
0046S00076000000,Hold for Study,Hold For Study
0047N00043000000,Hold for Study,Hold For Study
0009A00074000000,Hold for Study,Hold For Study
0009A00080000000,Hold for Study,Hold For Study
0009A00084000000,Hold for Study,Hold For Study
0024A00047000000,Hold for Study,Hold For Study
0024A00081000000,Hold for Study,Hold For Study
0024A00092000000,Hold for Study,Hold For Study
0024N00383000000,Hold for Study,Hold For Study
0024P00068000000,Hold for Study,Hold For Study
0007G00253000000,Hold for Study,Hold For Study
0005B00121000000,Hold for Study,Hold For Study
0005B00125000000,Hold for Study,Hold For Study
0005B00134000000,Hold for Study,Hold For Study
0005B00136000000,Hold for Study,Hold For Study
0005B00138000000,Hold for Study,Hold For Study
0005B00141000000,Hold for Study,Hold For Study
0051J00217000000,Hold for Study,Hold For Study
0051J00219000000,Hold for Study,Hold For Study
0082N00280000000,Hold for Study,Hold For Study
0026B00124000000,Hold for Study,Hold For Study
0026B00132000000,Hold for Study,Hold For Study
0026C00158000000,Hold for Study,Hold For Study
0026A00190000000,Hold for Study,Hold For Study
0026A00200000000,Hold for Study,Hold For Study
0026B00088000000,Hold for Study,Hold For Study
0026B00090000000,Hold for Study,Hold For Study
0011D00011000000,Hold for Study,Hold For Study
0011G00001000000,Hold for Study,Hold For Study
0011G00073000000,Hold for Study,Hold For Study
0011L00054000000,Hold for Study,Hold For Study
0002B00171000000,Hold for Study,Hold For Study
